Sentence,Sentiment
I absolutely love the service!,positive
This the weather ruined my day.,negative
It's an average the service.,neutral
What a fantastic this product!,positive
I really hate the food.,negative
I have no strong feelings about this place.,neutral
The best this product ever!,positive
this product is so disappointing.,negative
"this book is fine, I guess.",neutral
The best this product ever!,positive
What an awful this place!,negative
I'm neutral about the weather.,neutral
I highly recommend this product.,positive
What an awful the service!,negative
I'm neutral about the food.,neutral
I absolutely love the weather!,positive
the service is so disappointing.,negative
I don't care much about this product.,neutral
The best the weather ever!,positive
This this movie ruined my day.,negative
This this place is neither good nor bad.,neutral
The best this product ever!,positive
I'm so frustrated with this book.,negative
I'm neutral about this place.,neutral
I absolutely love this movie!,positive
the weather is so disappointing.,negative
this book is just okay.,neutral
This this place is amazing.,positive
This this place ruined my day.,negative
It's an average this place.,neutral
I absolutely love this book!,positive
I'm so frustrated with this place.,negative
I don't care much about this movie.,neutral
I highly recommend the food.,positive
the weather is so disappointing.,negative
I'm neutral about this movie.,neutral
This this book is amazing.,positive
this movie is so disappointing.,negative
I don't care much about the weather.,neutral
I feel great about my experience.,positive
I wouldn't recommend this place.,negative
the weather is just okay.,neutral
I absolutely love the weather!,positive
I'm so frustrated with this place.,negative
This this book is neither good nor bad.,neutral
this movie makes my day better.,positive
This this place is terrible.,negative
It's an average the service.,neutral
I highly recommend my experience.,positive
This the weather is terrible.,negative
I don't care much about this book.,neutral
This the weather is amazing.,positive
This the weather ruined my day.,negative
I don't care much about the food.,neutral
the food makes my day better.,positive
I'm so frustrated with the weather.,negative
this book is just okay.,neutral
this product makes my day better.,positive
I wouldn't recommend the weather.,negative
This this place is neither good nor bad.,neutral
I absolutely love the service!,positive
This this place is terrible.,negative
I have no strong feelings about this place.,neutral
The best the service ever!,positive
I really hate this place.,negative
I have no strong feelings about this place.,neutral
I highly recommend this movie.,positive
This the service ruined my day.,negative
I'm neutral about this movie.,neutral
This this product is amazing.,positive
the service is so disappointing.,negative
I don't care much about this book.,neutral
What a fantastic this place!,positive
I regret using this product.,negative
"my experience is fine, I guess.",neutral
What a fantastic the food!,positive
What an awful this place!,negative
I don't care much about this product.,neutral
What a fantastic my experience!,positive
this place is so disappointing.,negative
Nothing special about this place.,neutral
I feel great about my experience.,positive
I'm so frustrated with the food.,negative
"the service is fine, I guess.",neutral
What a fantastic the service!,positive
I wouldn't recommend this book.,negative
It's an average this product.,neutral
I absolutely love this product!,positive
I wouldn't recommend the food.,negative
I'm neutral about this product.,neutral
I feel great about this place.,positive
This this place ruined my day.,negative
"this movie is fine, I guess.",neutral
This the service is amazing.,positive
I wouldn't recommend the service.,negative
"this place is fine, I guess.",neutral
This the food is amazing.,positive
I regret using the weather.,negative
This this movie is neither good nor bad.,neutral
What a fantastic this movie!,positive
this movie is so disappointing.,negative
Nothing special about my experience.,neutral
This this place is amazing.,positive
This the weather is terrible.,negative
It's an average the weather.,neutral
I absolutely love the service!,positive
I really hate this movie.,negative
I don't care much about this book.,neutral
I feel great about this movie.,positive
I'm so frustrated with the food.,negative
This this book is neither good nor bad.,neutral
The best my experience ever!,positive
I'm so frustrated with this product.,negative
This this place is neither good nor bad.,neutral
I'm so happy with the weather.,positive
This this movie ruined my day.,negative
I'm neutral about my experience.,neutral
This my experience is amazing.,positive
I really hate this product.,negative
I don't care much about this product.,neutral
The best the service ever!,positive
I wouldn't recommend the weather.,negative
this product is just okay.,neutral
I absolutely love this product!,positive
I really hate the service.,negative
I don't care much about the food.,neutral
I highly recommend the service.,positive
I really hate my experience.,negative
I don't care much about the service.,neutral
I feel great about my experience.,positive
What an awful the weather!,negative
I have no strong feelings about the weather.,neutral
What a fantastic the weather!,positive
I'm so frustrated with the weather.,negative
This the food is neither good nor bad.,neutral
This this book is amazing.,positive
I really hate this product.,negative
the weather is just okay.,neutral
The best this product ever!,positive
I regret using this movie.,negative
This the weather is neither good nor bad.,neutral
the food makes my day better.,positive
This this product is terrible.,negative
this book is just okay.,neutral
This this book is amazing.,positive
I really hate my experience.,negative
This the weather is neither good nor bad.,neutral
this movie makes my day better.,positive
This this product ruined my day.,negative
Nothing special about my experience.,neutral
I absolutely love this movie!,positive
What an awful this movie!,negative
"this book is fine, I guess.",neutral
This my experience is amazing.,positive
What an awful this movie!,negative
this place is just okay.,neutral
What a fantastic my experience!,positive
I really hate the food.,negative
this product is just okay.,neutral
I feel great about this movie.,positive
this product is so disappointing.,negative
It's an average the weather.,neutral
The best this place ever!,positive
this movie is so disappointing.,negative
It's an average this place.,neutral
the service makes my day better.,positive
I really hate this book.,negative
I have no strong feelings about this product.,neutral
I feel great about this movie.,positive
I wouldn't recommend this place.,negative
"the weather is fine, I guess.",neutral
I highly recommend this place.,positive
This the service is terrible.,negative
This this product is neither good nor bad.,neutral
This the food is amazing.,positive
This this place ruined my day.,negative
Nothing special about the weather.,neutral
This this product is amazing.,positive
I wouldn't recommend this movie.,negative
I'm neutral about this place.,neutral
I'm so happy with this book.,positive
the service is so disappointing.,negative
Nothing special about this product.,neutral
The best my experience ever!,positive
I really hate the weather.,negative
I have no strong feelings about this movie.,neutral
I feel great about the food.,positive
This the food is terrible.,negative
It's an average the food.,neutral
What a fantastic this product!,positive
I regret using this product.,negative
I don't care much about the weather.,neutral
I'm so happy with the service.,positive
I regret using the food.,negative
It's an average this place.,neutral
I feel great about the service.,positive
I wouldn't recommend this movie.,negative
This this product is neither good nor bad.,neutral
The best this place ever!,positive
What an awful the service!,negative
It's an average this book.,neutral
The best the service ever!,positive
I wouldn't recommend this book.,negative
I don't care much about this place.,neutral
This the weather is amazing.,positive
the food is so disappointing.,negative
I'm neutral about this book.,neutral
I feel great about this place.,positive
This the service ruined my day.,negative
Nothing special about this book.,neutral
The best the service ever!,positive
This this place ruined my day.,negative
I have no strong feelings about the weather.,neutral
I highly recommend this place.,positive
This this book is terrible.,negative
I have no strong feelings about this product.,neutral
I absolutely love the service!,positive
I regret using the food.,negative
I don't care much about this place.,neutral
I highly recommend this product.,positive
What an awful the food!,negative
"the service is fine, I guess.",neutral
What a fantastic the food!,positive
I wouldn't recommend the food.,negative
"the service is fine, I guess.",neutral
What a fantastic the weather!,positive
What an awful the food!,negative
This the weather is neither good nor bad.,neutral
What a fantastic this movie!,positive
This this product ruined my day.,negative
This the food is neither good nor bad.,neutral
This this book is amazing.,positive
This the service is terrible.,negative
Nothing special about this book.,neutral
The best this movie ever!,positive
This this movie ruined my day.,negative
It's an average this place.,neutral
What a fantastic the food!,positive
this place is so disappointing.,negative
Nothing special about the food.,neutral
I highly recommend the food.,positive
I really hate this product.,negative
Nothing special about this product.,neutral
I highly recommend the weather.,positive
This this movie ruined my day.,negative
"my experience is fine, I guess.",neutral
I highly recommend the food.,positive
This this place is terrible.,negative
I'm neutral about this movie.,neutral
I feel great about the service.,positive
my experience is so disappointing.,negative
I'm neutral about this movie.,neutral
I'm so happy with the food.,positive
What an awful the food!,negative
It's an average this product.,neutral
The best my experience ever!,positive
I'm so frustrated with my experience.,negative
"this place is fine, I guess.",neutral
I absolutely love the weather!,positive
I really hate this book.,negative
I have no strong feelings about this place.,neutral
I feel great about this product.,positive
What an awful this product!,negative
"this place is fine, I guess.",neutral
this product makes my day better.,positive
I regret using this movie.,negative
I don't care much about my experience.,neutral
I absolutely love this place!,positive
I really hate this book.,negative
"this product is fine, I guess.",neutral
This the service is amazing.,positive
I'm so frustrated with the weather.,negative
I'm neutral about my experience.,neutral
The best this place ever!,positive
I'm so frustrated with this product.,negative
I'm neutral about this book.,neutral
The best this place ever!,positive
This this book is terrible.,negative
Nothing special about the food.,neutral
What a fantastic my experience!,positive
This this book ruined my day.,negative
"this place is fine, I guess.",neutral
What a fantastic my experience!,positive
This the food is terrible.,negative
I have no strong feelings about this book.,neutral
This the service is amazing.,positive
I wouldn't recommend this movie.,negative
This this place is neither good nor bad.,neutral
this book makes my day better.,positive
This this movie ruined my day.,negative
"the service is fine, I guess.",neutral
The best the weather ever!,positive
I regret using this product.,negative
Nothing special about this place.,neutral
I highly recommend the service.,positive
I wouldn't recommend this movie.,negative
This the food is neither good nor bad.,neutral
I'm so happy with the food.,positive
This this product ruined my day.,negative
"this book is fine, I guess.",neutral
What a fantastic this product!,positive
What an awful the service!,negative
I have no strong feelings about this book.,neutral
I absolutely love this book!,positive
What an awful the service!,negative
I don't care much about my experience.,neutral
What a fantastic the service!,positive
I regret using this movie.,negative
Nothing special about the food.,neutral
I highly recommend this book.,positive
This the weather is terrible.,negative
This this book is neither good nor bad.,neutral
I'm so happy with the weather.,positive
this product is so disappointing.,negative
I'm neutral about this movie.,neutral
I highly recommend the food.,positive
I'm so frustrated with this book.,negative
This the weather is neither good nor bad.,neutral
What a fantastic my experience!,positive
I'm so frustrated with this place.,negative
It's an average the food.,neutral
This this place is amazing.,positive
I really hate this place.,negative
Nothing special about the weather.,neutral
The best my experience ever!,positive
I regret using my experience.,negative
"this product is fine, I guess.",neutral
I highly recommend the weather.,positive
I wouldn't recommend this place.,negative
I'm neutral about this movie.,neutral
I absolutely love the weather!,positive
I regret using the food.,negative
I don't care much about this product.,neutral
I feel great about the weather.,positive
What an awful the service!,negative
This the service is neither good nor bad.,neutral
What a fantastic this place!,positive
I'm so frustrated with my experience.,negative
I have no strong feelings about this product.,neutral
I'm so happy with the weather.,positive
What an awful my experience!,negative
"this place is fine, I guess.",neutral
this place makes my day better.,positive
I wouldn't recommend the weather.,negative
Nothing special about the weather.,neutral
I'm so happy with this product.,positive
This this place is terrible.,negative
the food is just okay.,neutral
The best this place ever!,positive
This this product ruined my day.,negative
It's an average this product.,neutral
This the weather is amazing.,positive
I wouldn't recommend the service.,negative
"this place is fine, I guess.",neutral
The best this book ever!,positive
What an awful this book!,negative
It's an average the service.,neutral
This this book is amazing.,positive
This the weather is terrible.,negative
the weather is just okay.,neutral
I absolutely love this book!,positive
What an awful this place!,negative
I don't care much about this product.,neutral
What a fantastic this place!,positive
I really hate this book.,negative
"this movie is fine, I guess.",neutral
This my experience is amazing.,positive
I wouldn't recommend this book.,negative
I have no strong feelings about the service.,neutral
I highly recommend the service.,positive
What an awful my experience!,negative
It's an average this product.,neutral
This this place is amazing.,positive
I regret using this book.,negative
Nothing special about the weather.,neutral
I highly recommend this place.,positive
I wouldn't recommend the weather.,negative
It's an average the weather.,neutral
I'm so happy with this book.,positive
I regret using the weather.,negative
I don't care much about the food.,neutral
I feel great about the weather.,positive
I wouldn't recommend this place.,negative
I'm neutral about this place.,neutral
I feel great about the food.,positive
This this place ruined my day.,negative
I'm neutral about this place.,neutral
I highly recommend this book.,positive
I'm so frustrated with the food.,negative
I don't care much about the service.,neutral
This my experience is amazing.,positive
What an awful the food!,negative
the weather is just okay.,neutral
I absolutely love the weather!,positive
this book is so disappointing.,negative
I have no strong feelings about this movie.,neutral
I'm so happy with the service.,positive
this book is so disappointing.,negative
It's an average this movie.,neutral
I'm so happy with the weather.,positive
this book is so disappointing.,negative
I have no strong feelings about the food.,neutral
The best the service ever!,positive
I'm so frustrated with this product.,negative
I don't care much about my experience.,neutral
This the weather is amazing.,positive
I regret using this product.,negative
I don't care much about this place.,neutral
What a fantastic this book!,positive
I'm so frustrated with this place.,negative
It's an average this product.,neutral
my experience makes my day better.,positive
I wouldn't recommend my experience.,negative
It's an average the service.,neutral
I absolutely love the food!,positive
I regret using the food.,negative
"this place is fine, I guess.",neutral
the service makes my day better.,positive
This the service ruined my day.,negative
I don't care much about the weather.,neutral
This the weather is amazing.,positive
This the food ruined my day.,negative
I'm neutral about the service.,neutral
I feel great about the service.,positive
This this place is terrible.,negative
I'm neutral about the food.,neutral
I highly recommend this place.,positive
I'm so frustrated with the weather.,negative
It's an average this product.,neutral
I highly recommend this book.,positive
This this book is terrible.,negative
this movie is just okay.,neutral
What a fantastic my experience!,positive
I really hate this movie.,negative
my experience is just okay.,neutral
I highly recommend the weather.,positive
the service is so disappointing.,negative
I'm neutral about this book.,neutral
The best this movie ever!,positive
the food is so disappointing.,negative
the food is just okay.,neutral
What a fantastic the service!,positive
this movie is so disappointing.,negative
Nothing special about the weather.,neutral
I absolutely love this place!,positive
I really hate the food.,negative
"my experience is fine, I guess.",neutral
This the weather is amazing.,positive
I really hate the food.,negative
I have no strong feelings about the weather.,neutral
The best this product ever!,positive
this book is so disappointing.,negative
I don't care much about this book.,neutral
I highly recommend this movie.,positive
I'm so frustrated with this book.,negative
the weather is just okay.,neutral
I absolutely love the service!,positive
I really hate my experience.,negative
"this product is fine, I guess.",neutral
I highly recommend the service.,positive
I really hate this book.,negative
Nothing special about the food.,neutral
I feel great about this product.,positive
This my experience is terrible.,negative
I don't care much about the food.,neutral
I'm so happy with the weather.,positive
I wouldn't recommend this movie.,negative
I'm neutral about the service.,neutral
The best this movie ever!,positive
this place is so disappointing.,negative
"the food is fine, I guess.",neutral
I'm so happy with the food.,positive
This this movie ruined my day.,negative
This the food is neither good nor bad.,neutral
I'm so happy with this place.,positive
This the weather is terrible.,negative
It's an average the service.,neutral
this movie makes my day better.,positive
I wouldn't recommend this book.,negative
this book is just okay.,neutral
This the weather is amazing.,positive
I really hate this place.,negative
I have no strong feelings about this book.,neutral
the weather makes my day better.,positive
this place is so disappointing.,negative
This this place is neither good nor bad.,neutral
What a fantastic the service!,positive
I really hate this movie.,negative
It's an average this book.,neutral
I'm so happy with the service.,positive
I'm so frustrated with my experience.,negative
This the weather is neither good nor bad.,neutral
This this movie is amazing.,positive
What an awful the weather!,negative
I'm neutral about the food.,neutral
This the food is amazing.,positive
the service is so disappointing.,negative
This the food is neither good nor bad.,neutral
this product makes my day better.,positive
This this place ruined my day.,negative
I have no strong feelings about the service.,neutral
I feel great about this book.,positive
This my experience ruined my day.,negative
"my experience is fine, I guess.",neutral
I'm so happy with this product.,positive
I really hate this product.,negative
This my experience is neither good nor bad.,neutral
I highly recommend the weather.,positive
I regret using this product.,negative
I don't care much about my experience.,neutral
This this place is amazing.,positive
I'm so frustrated with the service.,negative
This the food is neither good nor bad.,neutral
The best this product ever!,positive
the service is so disappointing.,negative
I have no strong feelings about this movie.,neutral
I highly recommend this product.,positive
What an awful the food!,negative
I don't care much about this product.,neutral
I absolutely love this book!,positive
I regret using this book.,negative
I'm neutral about this book.,neutral
The best the weather ever!,positive
I really hate the service.,negative
my experience is just okay.,neutral
The best this movie ever!,positive
I regret using this book.,negative
I have no strong feelings about this product.,neutral
I feel great about the service.,positive
I wouldn't recommend my experience.,negative
this book is just okay.,neutral
What a fantastic this place!,positive
I regret using the service.,negative
"the service is fine, I guess.",neutral
the food makes my day better.,positive
the service is so disappointing.,negative
I have no strong feelings about this product.,neutral
this place makes my day better.,positive
I regret using the food.,negative
This this movie is neither good nor bad.,neutral
the service makes my day better.,positive
This my experience is terrible.,negative
Nothing special about the weather.,neutral
I absolutely love the food!,positive
I wouldn't recommend this place.,negative
This this place is neither good nor bad.,neutral
What a fantastic this book!,positive
I'm so frustrated with the food.,negative
"my experience is fine, I guess.",neutral
What a fantastic this place!,positive
This this place ruined my day.,negative
This the service is neither good nor bad.,neutral
What a fantastic this product!,positive
this movie is so disappointing.,negative
Nothing special about the weather.,neutral
I absolutely love this book!,positive
the food is so disappointing.,negative
Nothing special about the service.,neutral
I absolutely love the food!,positive
this book is so disappointing.,negative
I don't care much about the weather.,neutral
I'm so happy with my experience.,positive
What an awful this product!,negative
this place is just okay.,neutral
my experience makes my day better.,positive
I'm so frustrated with the weather.,negative
Nothing special about the food.,neutral
I'm so happy with the weather.,positive
I'm so frustrated with my experience.,negative
I don't care much about this book.,neutral
I'm so happy with the service.,positive
I really hate this movie.,negative
It's an average the food.,neutral
I absolutely love this book!,positive
I'm so frustrated with the weather.,negative
"my experience is fine, I guess.",neutral
I feel great about this movie.,positive
This the food ruined my day.,negative
"the food is fine, I guess.",neutral
my experience makes my day better.,positive
I really hate this book.,negative
I don't care much about my experience.,neutral
This the food is amazing.,positive
This the service ruined my day.,negative
I don't care much about the food.,neutral
This this product is amazing.,positive
I wouldn't recommend my experience.,negative
this movie is just okay.,neutral
The best the service ever!,positive
I regret using my experience.,negative
It's an average this book.,neutral
This the food is amazing.,positive
I really hate the food.,negative
I don't care much about this book.,neutral
The best the service ever!,positive
I'm so frustrated with the weather.,negative
I have no strong feelings about the food.,neutral
I feel great about the service.,positive
I'm so frustrated with the food.,negative
I have no strong feelings about this product.,neutral
The best this product ever!,positive
This the service is terrible.,negative
"my experience is fine, I guess.",neutral
I feel great about this book.,positive
This the weather is terrible.,negative
the service is just okay.,neutral
I absolutely love my experience!,positive
this movie is so disappointing.,negative
Nothing special about the service.,neutral
The best the food ever!,positive
I wouldn't recommend the service.,negative
Nothing special about the weather.,neutral
The best this product ever!,positive
This the weather is terrible.,negative
"the food is fine, I guess.",neutral
this product makes my day better.,positive
What an awful the service!,negative
This this movie is neither good nor bad.,neutral
this product makes my day better.,positive
this movie is so disappointing.,negative
"this movie is fine, I guess.",neutral
I feel great about the weather.,positive
This this place is terrible.,negative
Nothing special about the weather.,neutral
What a fantastic the weather!,positive
this product is so disappointing.,negative
Nothing special about this place.,neutral
The best this product ever!,positive
I really hate the food.,negative
Nothing special about this product.,neutral
this place makes my day better.,positive
I regret using the service.,negative
I have no strong feelings about this book.,neutral
What a fantastic the service!,positive
This the weather is terrible.,negative
I don't care much about this movie.,neutral
I highly recommend this product.,positive
This the service is terrible.,negative
I have no strong feelings about the weather.,neutral
The best this place ever!,positive
this product is so disappointing.,negative
I have no strong feelings about the food.,neutral
I highly recommend the food.,positive
I really hate the service.,negative
It's an average this book.,neutral
What a fantastic this movie!,positive
This this product ruined my day.,negative
This this place is neither good nor bad.,neutral
this product makes my day better.,positive
I regret using this product.,negative
I have no strong feelings about the food.,neutral
This the service is amazing.,positive
I'm so frustrated with the food.,negative
I have no strong feelings about this book.,neutral
This the weather is amazing.,positive
I wouldn't recommend the food.,negative
I have no strong feelings about the food.,neutral
The best this place ever!,positive
I wouldn't recommend this product.,negative
I don't care much about the food.,neutral
This the weather is amazing.,positive
This the weather is terrible.,negative
Nothing special about my experience.,neutral
this product makes my day better.,positive
the food is so disappointing.,negative
Nothing special about this movie.,neutral
The best my experience ever!,positive
I regret using the service.,negative
I don't care much about this movie.,neutral
The best this place ever!,positive
I really hate the food.,negative
"my experience is fine, I guess.",neutral
my experience makes my day better.,positive
this product is so disappointing.,negative
the food is just okay.,neutral
This this book is amazing.,positive
This the weather is terrible.,negative
"the weather is fine, I guess.",neutral
I absolutely love this product!,positive
I wouldn't recommend this place.,negative
"this place is fine, I guess.",neutral
This the service is amazing.,positive
This this book is terrible.,negative
Nothing special about the service.,neutral
I absolutely love the food!,positive
This this place is terrible.,negative
I have no strong feelings about this product.,neutral
this book makes my day better.,positive
This this movie ruined my day.,negative
I have no strong feelings about this book.,neutral
The best the service ever!,positive
What an awful this movie!,negative
"the service is fine, I guess.",neutral
I absolutely love the weather!,positive
this movie is so disappointing.,negative
I have no strong feelings about this book.,neutral
the food makes my day better.,positive
